RA,Dec,U_MAG_COG,R_MAG_COG,U_MAGERR_COG,R_MAGERR_COG,U_MAG_APAUTO,R_MAG_APAUTO,U_MAGERR_APAUTO,R_MAGERR_APAUTO,U_IQ,R_IQ,R_A_WORLD,R_B_WORLD,R_THETA_J2000,R_ISOAREA_IMAGE,R_MU_MAX,R_FLUX_RADIUS,U_FLAGS,R_FLAGS,R_MAG_2ARC,R_MAGERR_2ARC,U_MAGLIM_2ARC,R_MAGLIM_2ARC,U_MAGLIM_APAUTO,R_MAGLIM_APAUTO,U_MAGLIM_COG,R_MAGLIM_COG,R_MAG_APER_5,R_MAG_APER_10,R_MAG_APER_15,R_MAG_APER_20,g_wrp_kron,r_wrp_kron,i_wrp_kron,y_wrp_kron,z_wrp_kron,g_wrp_kron_err,r_wrp_kron_err,i_wrp_kron_err,y_wrp_kron_err,z_wrp_kron_err,g_wrp_psf,r_wrp_psf,i_wrp_psf,y_wrp_psf,z_wrp_psf,g_wrp_psf_err,r_wrp_psf_err,i_wrp_psf_err,y_wrp_psf_err,z_wrp_psf_err,GC_Prob
190.2757981,32.8309802,22.01414968,20.67365251,0.016,0.002,21.97914968,20.66265251,0.055,0.006,0.7923,0.632,0.000121388,0.000120677,66.51,174,20.0521,2.005,0,3,20.75565251,0.005,24.376,25.085,23.451,24.527,24.61,25.659,21.17175251,20.76875251,20.64715251,20.63005251,20.89030814,20.37222151,20.42452511,20.4691018,20.39426752,0.040507406,0.096993424,0.066441186,0.17774187,0.097898126,21.02407814,20.63828551,20.53040011,20.4035268,20.51217152,0.048777144,0.037210386,0.021890948,0.08623568,0.04870872,0.001972245
190.0839552,32.8446059,23.05293974,21.56539073,0.037,0.005,23.01293974,21.55739073,0.13,0.016,0.7923,0.6221,0.00011404,0.00010662,52.7,101,20.9205,1.952,0,0,21.63839073,0.011,24.376,24.882,23.451,24.369,24.61,25.539,22.05179073,21.64959073,21.54689073,21.53259073,22.35242429,21.68355273,21.60046065,21.55376986,21.6927335,0.1893943,0.10586578,0.07269657,0.32316574,0.16496624,22.07351329,21.56694273,21.50937465,21.13288086,21.4999285,0.079164475,0.051925544,0.054860312,0.18622482,0.06577283,0.011507373
190.1859822,32.8496427,22.12313969,20.20188138,0.017,0.002,22.10813969,20.20088138,0.06,0.006,0.7923,0.576,0.000115827,0.000111213,64.85,159,19.4139,1.862,0,0,20.25888138,0.004,24.376,24.678,23.451,24.26,24.61,25.404,20.62688138,20.26828138,20.18588138,20.16568138,20.78567351,20.34045238,20.227895,20.18507044,20.16507823,0.0471871,0.031675383,0.049649958,0.09384522,0.04926518,20.75327851,20.22268338,20.077112,19.80470444,19.98744623,0.022183537,0.013937814,0.039932787,0.061122432,0.023236362,0.059373783
190.1500292,32.8640583,24.56384828,22.79326334,0.148,0.019,24.39684828,22.84426334,0.467,0.056,0.7923,0.576,9.64E-05,9.28E-05,-13.49,54,22.1976,1.994,0,0,22.83926334,0.038,24.376,24.678,23.451,24.26,24.61,25.404,23.32336334,22.83926334,22.77156334,22.66996334,22.71125164,22.69507134,22.57092762,,22.15307436,0.43149522,0.15351577,0.21797362,-0.27288386,0.5008249,23.23021964,22.80309934,22.44217662,21.73807197,21.73783336,0.16772768,0.086541526,0.1003579,0.2399054,0.27738157,0.074671238
190.290541,32.884411,23.2679288,21.52507249,0.046,0.005,23.1069288,21.53107249,0.146,0.015,0.7923,0.6205,0.000109284,0.000101313,-87.18,95,20.8698,1.912,0,0,21.59107249,0.011,24.376,24.884,23.451,24.364,24.61,25.548,21.98507249,21.60087249,21.52097249,21.46037249,22.24979822,21.74847149,21.45267606,21.7100372,21.33008666,0.12965252,0.055986866,0.11723128,0.6657721,0.16862497,22.10269422,21.60218549,21.43376306,21.1779402,21.40873566,0.07103691,0.040972374,0.045023736,0.16908555,0.080267146,0.408147112
190.2794728,32.89421,21.85562662,20.49898769,0.014,0.002,21.85162662,20.49798769,0.049,0.006,0.7923,0.6205,0.000124028,0.000114404,10.22,169,19.8196,1.963,0,0,20.57098769,0.005,24.376,24.884,23.451,24.364,24.61,25.548,20.96568769,20.58228769,20.47938769,20.47568769,21.05063716,20.63124769,20.55400509,20.32964236,20.60350352,0.045270603,0.04458314,0.04866776,0.1304735,0.15378939,20.89594016,20.53275369,20.39035309,20.27554536,20.38118252,0.019118667,0.024109498,0.025235197,0.048611466,0.04514345,0.00271187
190.1059262,32.8947685,23.33902746,22.05389897,0.048,0.008,23.35102746,22.04989897,0.178,0.024,0.7923,0.6205,0.000110241,0.000100463,52.69,82,21.3813,2.001,0,0,22.12589897,0.017,24.376,24.884,23.451,24.364,24.61,25.548,22.53279897,22.13989897,22.02139897,22.06849897,22.64886345,22.14832597,21.64588297,20.51646373,21.63524869,0.14432302,0.18310237,0.1820807,0.20294948,0.4774203,22.57526245,22.08446097,21.81764997,21.46336273,21.78863569,0.0824772,0.06467874,0.09574637,0.17441039,0.18686543,0.479507763
190.249641,32.8998704,24.03302637,22.31528125,0.098,0.01,23.97502637,22.30028125,0.343,0.03,0.7923,0.6205,0.00010737,0.00010335,72.44,70,21.7052,2.034,0,0,22.38828125,0.021,24.376,24.884,23.451,24.364,24.61,25.548,22.83948125,22.40058125,22.27008125,22.36148125,23.74117502,22.45925625,21.88458925,19.73060636,22.92114152,0.5677638,0.19641586,0.1603783,0.3755606,0.80750024,22.99796002,22.31381325,22.02765625,21.12368636,22.56127452,0.095662504,0.07673024,0.081538066,0.27289253,0.11462809,0.014826861
190.1365642,32.9058917,23.01422598,21.68046694,0.037,0.006,23.25922598,21.69446694,0.169,0.018,0.7923,0.6205,0.000107988,0.000103672,49.04,84,21.0721,1.945,0,0,21.75046694,0.012,24.376,24.884,23.451,24.364,24.61,25.548,22.15786694,21.75826694,21.69136694,21.69416694,21.75159794,22.04521394,21.59497766,20.77062866,23.01337089,0.15698363,0.12860517,0.1397837,0.56459785,1.2064714,21.98122394,21.79467994,21.53378266,21.58439866,21.60243389,0.11210805,0.059780758,0.0899092,0.2161115,0.20469174,1.68E-05
190.2288588,32.9151876,22.11133987,20.65398929,0.017,0.003,22.07933987,20.64798929,0.058,0.007,0.7923,0.6205,0.000119351,0.000114502,-37.42,152,19.99,1.953,0,0,20.72598929,0.005,24.376,24.884,23.451,24.364,24.61,25.548,21.11988929,20.73638929,20.63208929,20.60508929,21.35309149,20.75829929,20.65059076,20.36796716,20.47418488,0.049662687,0.032888997,0.046875536,0.13988137,0.082425505,21.13656749,20.65380429,20.53396776,20.41609116,20.47230488,0.027709393,0.014045833,0.021637421,0.08429667,0.039208725,0.051186786
190.1801696,32.9315551,22.15723362,20.70947106,0.017,0.003,22.14323362,20.71647106,0.061,0.01,0.7923,0.6794,0.000120883,0.000118223,-73.6,144,20.175,2.126,0,0,20.81047106,0.007,24.376,24.611,23.451,23.97,24.61,25.016,21.27287106,20.82427106,20.71397106,20.69007106,21.1257059,20.91597806,20.77477852,20.5415786,20.29311617,0.042702284,0.04036452,0.03397226,0.16307351,0.06997664,21.0933769,20.75983106,20.58823752,20.5044826,20.55208017,0.011036897,0.023633933,0.027645636,0.075557955,0.06089799,0.003622489
190.2341332,32.9559498,21.55632058,19.95643985,0.01,0.001,21.50232058,19.95843985,0.035,0.004,0.7923,0.6205,0.000119736,0.000117728,84.39,194,19.3134,1.927,0,0,20.02543985,0.003,24.376,24.884,23.451,24.364,24.61,25.548,20.41813985,20.03583985,19.94563985,19.93463985,20.59501626,20.14846185,19.96000912,19.71918091,19.93496818,0.03736059,0.032022852,0.027256742,0.07419819,0.07087661,20.42906426,20.00963985,19.83272312,19.67044291,19.73915918,0.012106764,0.014066744,0.023373086,0.05278406,0.031745363,0.031284785
190.3769503,32.8034123,23.94458433,22.0181916,0.078,0.007,24.05258433,22.0041916,0.32,0.02,0.8019,0.632,0.000110694,0.000104189,-67.42,91,21.4332,2.012,0,0,22.1001916,0.014,24.49,25.085,23.641,24.527,24.969,25.659,22.5187916,22.1150916,21.9868916,21.9210916,22.59912485,22.2474366,22.32238324,21.17615511,21.74329429,0.1830738,0.22629473,0.1731784,0.26070172,0.13426973,22.74719585,22.0937696,21.87711924,21.33791111,21.68641529,0.13002068,0.08868868,0.037089776,0.22342531,0.10437549,0.086204601
190.3293942,32.8354175,22.18256794,20.75464372,0.016,0.002,22.17756794,20.75964372,0.056,0.007,0.8019,0.632,0.00011904,0.00011431,-38.22,148,20.217,2.045,0,0,20.83264372,0.005,24.49,25.085,23.641,24.527,24.969,25.659,21.27284372,20.84374372,20.74924372,20.71784372,21.38988488,20.89338272,20.80937268,20.2608886,20.70691046,0.077338,0.047441524,0.059777692,0.22465196,0.079557024,21.15341188,20.81698372,20.58522068,20.3597416,20.57537946,0.025202468,0.016059613,0.02672504,0.10116047,0.04051802,0.016495966
190.3015283,32.8520282,22.86358225,21.16326856,0.028,0.005,22.87058225,21.16126856,0.104,0.013,0.8019,0.576,0.000109299,0.000105542,27.16,104,20.5101,1.906,0,2,21.22126856,0.009,24.49,24.678,23.641,24.26,24.969,25.404,21.60216856,21.23036856,21.13636856,21.11366856,21.62860161,21.29249356,21.02246234,21.15337031,20.98316656,0.109778814,0.07697826,0.05058654,0.31912935,0.1215378,21.65562661,21.20120856,20.91833434,20.99595731,20.84430956,0.051656246,0.028799139,0.025504991,0.13341445,0.06849475,0.460160444
190.40665,32.8613986,24.4348475,22.65179441,0.119,0.017,24.8118475,22.65279441,0.629,0.049,0.8019,0.576,0.000110329,0.000102153,26.7,67,22.1516,2.149,0,0,22.70079441,0.035,24.49,24.678,23.641,24.26,24.969,25.404,23.24149441,22.71729441,22.62469441,22.59349441,22.93352071,23.03291641,21.99139008,20.40460743,21.59023575,0.17030637,0.26168093,0.20021349,0.23645185,0.37718293,23.03603571,22.60378241,22.40057608,21.59294843,21.90992375,0.09083478,0.10712812,0.18624316,0.23498917,0.13552564,0.143752309
